r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
77,13,69,103,50,49,27,34,78,62,1
11,19,78,51,75,76,12,29,69,87,0
38,19,68,22,88,41,103,34,87,107,1
92,11,41,22,16,114,78,103,34,3,0
15,35,104,87,103,11,12,57,86,16,0
47,109,78,23,87,11,81,29,30,51,1
49,1,29,100,68,94,11,65,88,86,1
15,69,17,16,87,77,65,3,34,103,0
63,15,38,87,103,53,43,12,100,30,1
49,15,38,64,100,39,19,30,65,88,0
19,85,101,65,22,80,34,78,3,103,1
40,33,39,86,62,93,78,15,103,87,0
98,57,81,62,30,77,49,108,60,86,1
54,39,104,68,88,72,49,65,103,87,0
19,17,7,3,62,77,27,38,76,100,1
52,27,63,102,3,41,78,47,87,107,0
94,13,49,112,84,77,17,103,50,88,0
70,22,88,3,103,77,43,65,50,100,0
38,76,96,104,86,77,27,11,60,98,0
19,69,81,68,16,11,54,51,62,87,0
19,78,76,51,87,12,46,13,23,3,1
76,61,65,87,100,11,27,20,102,51,0
19,39,15,51,87,49,11,13,68,100,0
61,59,11,62,88,9,39,2,14,51,1
12,11,30,100,65,39,93,102,51,110,0
77,47,108,64,60,49,61,70,50,84,1
18,39,92,69,100,63,76,29,87,16,0
109,11,57,23,20,77,74,78,79,107,1
11,15,69,51,86,48,64,76,29,88,1
11,109,78,50,88,59,63,57,16,62,0
48,11,29,87,51,52,39,69,79,62,1
77,94,13,26,51,12,58,11,110,16,1
94,53,19,14,3,12,13,27,108,51,0
78,47,81,16,68,12,11,27,29,3,1
1,9,69,3,100,12,94,78,87,86,0
17,15,41,103,3,78,9,113,79,51,0
1,39,30,60,51,49,12,38,100,85,0
49,20,13,75,16,18,9,38,88,68,0
9,46,13,112,100,19,11,57,3,107,0
49,10,13,86,68,9,76,57,30,16,1
49,15,64,78,86,19,39,55,3,107,1
19,15,66,16,84,43,27,20,78,60,1
27,72,17,57,100,11,114,103,112,3,1
76,54,102,16,30,61,19,27,29,100,1
95,9,78,51,90,93,17,60,84,23,0
53,19,39,27,86,77,11,57,16,30,1
72,12,112,103,86,42,27,13,34,85,0
15,47,33,86,84,109,19,108,100,68,1
27,72,15,29,86,11,19,51,3,88,0
77,113,16,30,85,59,72,108,84,111,0
94,78,34,62,112,1,13,29,68,84,0
19,27,15,108,103,52,41,65,3,57,1
113,8,27,108,16,19,20,37,65,86,1
41,65,39,103,75,54,9,57,84,87,0
6,9,40,79,107,44,57,13,51,87,1
15,27,19,94,51,6,17,79,57,16,0
63,39,60,69,112,58,47,41,100,85,1
77,23,78,90,16,8,102,94,51,79,1
15,72,108,30,100,58,17,12,103,87,1
49,104,87,62,34,47,8,60,30,89,1
77,15,13,100,87,72,61,60,103,3,1
39,18,100,78,3,72,12,69,30,107,1
76,54,65,7,68,63,19,29,3,51,0
12,54,13,87,100,8,72,89,30,88,0
102,41,72,107,3,54,74,87,16,103,0
54,39,108,100,30,59,11,19,51,50,1
63,11,29,30,100,77,45,33,16,68,1
45,8,57,3,100,48,53,64,47,16,1
109,57,30,13,51,9,94,108,16,68,1
33,39,54,3,60,72,46,58,100,84,0
81,43,104,68,107,18,15,78,16,30,1
106,21,14,70,3,47,102,72,87,16,0
41,47,64,103,51,45,27,108,72,100,1
12,76,16,68,88,45,49,8,64,100,1
72,34,104,69,30,58,54,27,13,16,0
109,43,100,88,87,94,89,22,16,30,1
48,11,86,88,100,109,27,39,57,16,0
43,8,13,103,119,72,78,39,89,30,1
53,114,76,30,16,39,95,66,29,3,1
19,11,9,30,62,41,66,76,65,16,0
49,113,15,119,100,13,76,63,19,30,1
12,39,2,68,100,8,27,98,104,107,1
25,8,29,100,30,49,19,76,87,107,0
43,81,119,65,16,18,58,47,100,37,1
72,27,39,57,100,54,78,90,74,3,1
8,11,58,87,51,73,49,101,30,103,0
49,16,15,85,30,6,53,13,119,3,0
43,94,19,119,103,11,41,13,110,16,1
12,11,78,100,30,48,38,94,16,87,1
10,19,13,107,68,77,64,92,78,100,0
77,19,51,34,87,109,16,15,100,3,1
54,15,104,64,119,53,63,49,16,110,0
72,54,30,38,100,49,10,13,16,68,0
76,15,3,119,62,109,43,78,89,87,0
48,43,78,62,87,42,114,16,68,89,1
94,43,57,30,100,66,49,41,69,86,1
48,49,19,16,111,42,76,78,68,107,1
19,74,86,65,62,43,60,113,100,119,0
72,41,78,30,16,92,58,13,51,3,1
94,66,40,19,3,109,49,50,57,7,1
93,39,66,16,87,92,15,29,30,62,0
15,11,66,19,86,48,47,108,30,107,0
18,108,11,3,88,109,64,19,78,103,1
48,78,76,16,86,77,94,30,57,100,1
11,41,78,30,103,109,43,16,89,3,1
95,47,33,87,100,49,77,64,19,89,1
109,11,88,100,30,95,43,69,87,16,0
19,47,86,68,16,11,54,43,89,87,1
43,33,12,68,14,72,54,89,86,65,0
54,47,108,7,3,20,19,64,34,100,1
61,20,57,64,103,77,11,78,89,87,0
72,38,17,16,68,109,47,57,62,87,0
95,43,65,16,68,109,13,102,66,86,1
12,76,30,19,23,39,54,38,68,66,1
11,40,19,30,51,64,46,49,20,100,1
11,20,57,100,30,39,109,69,16,68,1
42,19,68,16,34,72,11,3,100,65,1
72,45,40,103,87,8,19,15,89,62,1
49,72,108,103,68,77,8,13,87,89,0
47,43,104,51,68,77,25,3,29,119,0
54,13,98,100,119,72,49,29,60,3,0
48,53,43,3,16,45,77,60,87,58,1
33,8,11,89,87,72,102,19,14,119,1
72,41,57,20,86,109,49,33,51,68,0
19,66,13,76,86,11,72,64,16,107,0
72,53,61,30,103,44,38,40,60,68,1
15,11,16,65,111,93,9,53,3,100,1
19,76,57,16,68,113,72,69,30,51,0
54,43,3,57,16,49,95,99,90,30,1
63,19,47,90,16,45,8,66,65,100,0
72,39,38,27,16,8,15,57,87,28,1
2,76,57,51,111,72,17,19,3,107,1
109,39,47,100,30,19,15,76,87,51,0
33,72,27,39,103,43,108,15,30,100,0
41,47,66,15,7,61,39,16,86,72,0
48,69,76,87,100,56,49,65,14,86,1
109,33,47,89,87,49,72,119,16,75,1
8,45,19,68,16,33,49,34,62,87,1
8,34,57,62,30,48,45,66,17,86,0
77,39,60,100,87,92,54,29,68,16,0
109,43,16,100,87,72,39,99,103,68,1
43,13,41,3,103,54,11,51,29,87,0
12,19,30,51,100,49,48,85,7,119,1
43,72,57,16,68,63,19,86,13,100,0
10,45,19,30,107,95,49,87,16,88,0
54,39,38,100,30,53,49,72,68,16,1
49,33,8,103,86,109,104,72,16,87,1
94,72,29,60,87,19,46,64,13,100,1
43,53,8,68,107,48,49,16,100,27,1
43,16,48,107,30,72,76,13,68,100,0
35,19,13,51,119,76,108,72,16,30,1
80,35,68,107,16,108,109,15,88,3,1
58,49,95,78,3,76,19,29,87,62,0
109,43,60,50,100,41,11,108,86,51,0
77,17,57,86,100,98,72,79,16,68,1
72,19,66,16,86,49,15,29,89,87,1
12,41,29,103,112,77,18,57,107,3,0
46,41,58,23,68,66,27,17,54,16,1
40,57,58,18,28,12,19,15,26,85,0
80,74,110,87,7,48,27,43,100,57,1
77,102,34,86,14,39,81,65,112,100,1
80,74,57,7,62,48,46,87,89,16,0
54,47,102,66,100,63,11,65,37,51,1
8,55,78,51,30,43,41,19,111,103,0
95,76,29,16,86,27,114,57,46,51,1
47,15,33,89,3,11,63,57,86,60,1
49,11,57,100,30,33,43,41,86,60,0
109,13,79,57,28,43,78,15,86,107,0
46,49,16,90,68,54,17,57,88,3,1
49,104,103,22,3,109,19,51,37,34,0
12,27,46,58,16,11,19,13,60,30,1
61,48,69,66,86,11,58,9,89,3,0
109,43,30,65,16,72,57,34,100,87,0
12,19,22,37,89,77,34,104,26,62,1
43,8,37,97,100,41,19,68,34,16,0
49,15,29,107,62,19,9,58,103,84,1
46,109,27,78,100,77,94,104,3,107,0
77,57,46,100,86,11,15,29,30,16,1
43,81,65,30,107,54,19,13,86,60,0
74,108,20,89,86,12,72,57,87,103,0
77,29,34,87,89,20,74,16,50,107,0
43,66,30,16,12,77,72,13,86,62,0
58,11,15,65,100,49,47,72,30,86,0
41,38,34,3,23,19,12,22,78,79,1
76,108,70,89,87,54,64,34,16,107,1
54,76,52,23,16,12,49,13,50,103,1
47,12,16,86,85,72,39,57,107,3,1
109,47,104,68,107,53,81,11,100,86,1
18,52,55,98,16,77,12,65,100,3,0
17,109,66,57,27,45,19,98,30,91,0
11,19,29,86,51,54,46,38,23,3,1
72,76,29,89,87,77,11,102,100,83,1
102,104,12,60,30,18,47,16,3,107,0
72,39,2,86,60,77,11,57,3,107,0
54,17,15,103,87,66,6,34,65,26,1
55,77,113,30,51,109,13,87,57,100,0
109,17,57,86,62,15,16,34,60,22,1
77,17,69,50,107,49,19,58,13,112,0
72,39,90,88,87,49,54,15,66,107,0
95,108,76,51,26,94,20,57,87,89,0
43,41,30,16,60,77,89,29,90,100,0
47,8,33,87,89,11,41,55,79,16,1
77,27,29,85,34,12,72,98,30,100,1
94,15,108,86,60,48,29,34,23,30,1
109,74,19,100,50,43,104,76,90,86,0
49,98,55,3,16,109,13,112,30,107,1
8,39,78,58,86,12,49,60,3,103,0
12,43,22,86,107,109,15,57,103,87,0
18,60,55,100,3,12,23,65,101,7,0
15,17,57,84,86,47,39,10,91,3,1
49,102,44,91,3,25,78,67,119,37,0
27,109,53,34,75,61,81,64,110,103,1
67,42,23,21,112,36,4,12,27,7,1
6,59,33,119,84,67,9,56,23,112,1
72,6,17,91,84,56,61,9,112,103,1
32,19,97,119,75,45,70,67,88,3,0
45,12,35,86,83,59,63,57,84,112,0
95,78,39,75,7,77,113,2,88,110,1
63,67,17,119,20,46,33,9,42,112,1
109,9,69,2,5,113,19,78,7,75,1
72,64,25,91,51,39,10,112,96,3,1
9,4,6,85,20,77,52,75,120,7,0
72,17,51,86,110,53,10,106,25,83,1
114,17,31,2,110,109,74,70,7,5,1
17,6,110,96,84,113,23,70,85,5,0
19,9,86,40,112,94,45,70,7,119,0
52,114,36,101,88,96,23,109,86,2,1
9,72,51,91,112,10,36,64,22,88,1
77,2,21,112,75,63,98,9,20,107,1
77,70,34,88,75,63,41,39,31,3,1
25,44,70,75,97,72,91,74,78,84,1
53,25,42,110,51,45,114,17,30,7,0
113,19,92,103,50,109,33,106,112,85,0
72,19,36,20,91,25,74,41,7,31,0
109,78,74,83,86,63,36,64,88,65,1
109,13,78,86,85,95,36,17,7,110,0
74,45,59,110,88,46,41,15,84,119,0
19,9,114,88,5,54,27,23,3,96,0
46,41,25,31,88,72,106,91,96,119,1
9,41,51,75,120,67,25,110,7,119,1
63,19,73,79,103,109,13,2,112,3,1
63,21,65,87,103,72,23,2,91,101,0
19,25,34,112,83,114,43,79,7,110,0
48,45,79,34,88,109,9,60,112,86,0
74,45,12,85,88,9,78,106,51,36,1
47,19,63,79,107,36,59,23,7,22,0
53,67,22,96,3,45,36,74,85,7,1
109,25,45,19,53,56,67,64,70,83,1
19,63,39,88,83,77,36,3,110,7,0
74,27,110,106,7,109,36,25,51,83,0
72,6,91,112,23,10,17,45,96,88,1
45,49,70,86,88,77,9,51,120,36,0
109,17,36,7,111,114,19,34,32,79,0
74,67,70,7,3,40,19,36,94,112,1
45,49,36,110,88,9,106,19,112,107,1
106,25,41,84,68,72,23,96,91,79,0
113,88,34,23,5,36,63,22,79,100,1
59,12,19,110,31,67,74,70,119,75,1
59,41,84,25,68,72,21,19,91,88,1
46,41,112,85,31,52,72,2,91,101,1
77,74,36,101,7,94,114,119,97,88,0
77,74,36,88,112,45,113,23,58,7,1
10,9,4,86,3,74,70,63,85,100,1
109,106,78,112,103,48,19,79,85,65,0
67,36,2,91,86,33,25,19,41,31,1
41,4,36,7,86,45,77,63,100,3,1
15,70,36,20,7,45,113,19,64,16,0
109,19,21,100,75,63,114,84,34,20,0
109,23,5,88,84,77,61,22,85,7,0
67,36,65,110,26,113,46,52,16,112,0
25,45,19,75,7,63,9,100,95,20,1
46,6,86,112,23,48,63,4,3,7,1
63,19,34,119,3,25,36,70,100,112,1
63,36,106,5,88,109,45,9,112,51,1
109,46,36,30,88,77,74,58,7,101,0
9,41,45,75,107,52,63,78,20,112,1
95,41,96,112,101,63,36,52,110,88,1
114,63,70,84,119,52,41,57,88,75,0
58,63,34,7,5,23,69,109,112,87,1
9,21,19,119,3,46,63,110,112,7,0
109,49,58,112,103,36,76,79,9,88,1
23,67,96,79,85,45,94,6,63,2,1
9,63,113,85,3,25,36,41,64,7,0
10,114,88,7,31,45,72,39,91,86,1
6,63,13,112,85,109,25,96,86,75,1
67,17,97,14,3,33,99,114,7,112,1
92,95,13,88,110,49,70,96,85,119,0
63,10,13,20,83,46,45,41,64,85,0
109,46,36,30,88,45,19,74,7,3,1
72,12,21,91,86,45,77,63,88,3,1
45,41,74,119,88,42,63,102,64,51,1
6,61,9,20,51,45,12,85,34,7,0
6,9,17,112,83,72,42,22,110,91,1
109,13,78,5,85,12,120,101,83,71,1
67,70,22,112,71,92,106,75,50,7,1
113,106,96,86,70,92,114,34,112,83,0
95,25,96,112,2,94,98,63,7,75,0
45,25,63,112,88,49,6,7,119,84,0
113,25,7,75,2,72,13,112,91,42,0
33,73,63,112,7,72,41,97,91,26,0
45,58,107,114,75,42,9,56,119,5,0
9,36,41,100,112,52,57,34,79,7,0
40,109,79,19,84,70,22,48,3,110,0
72,6,63,91,112,45,113,4,3,83,1
109,113,78,7,3,27,10,106,2,112,1
36,72,19,91,83,10,41,45,84,87,1
73,19,36,86,3,46,63,7,9,111,1
104,95,103,97,3,23,9,36,75,7,1
53,19,63,83,26,72,38,23,91,5,0
19,114,110,83,112,9,54,64,89,65,0
8,58,73,75,107,10,45,46,88,85,0
72,52,49,91,87,63,21,114,112,3,1
41,9,114,112,119,12,63,52,110,7,1
48,57,112,23,51,53,67,70,7,75,0
33,106,67,5,83,59,6,9,20,89,0
97,74,67,70,112,109,45,52,86,7,0
12,9,106,7,31,63,23,33,5,112,0
48,22,110,30,84,6,81,27,29,64,1
46,92,104,110,83,9,102,106,5,107,0
109,19,33,110,71,9,74,5,20,107,0
61,40,70,5,107,95,9,21,97,85,1
6,25,2,63,84,80,9,78,7,110,0
1,63,19,65,75,8,9,20,107,3,0
12,57,15,88,87,43,41,65,103,30,1
19,8,76,7,37,49,43,65,87,103,0
58,11,8,27,51,94,34,85,110,64,1
12,76,108,103,87,48,49,27,19,62,1
72,15,75,29,23,54,76,37,103,88,0
35,54,13,100,119,52,12,38,86,107,0
63,76,13,119,30,58,41,25,100,68,1
11,80,108,103,3,46,19,72,68,51,0
49,63,78,103,87,48,15,16,86,90,1
11,102,78,3,107,72,30,29,88,34,0
77,58,12,107,87,49,16,39,23,112,0
95,47,66,38,20,49,19,12,30,110,1
12,58,17,60,87,77,52,103,30,16,0
15,94,29,23,87,47,72,108,64,89,0
63,78,15,51,87,43,72,103,65,86,0
43,72,19,86,107,109,15,13,51,50,1
48,53,43,3,16,81,57,74,87,107,1
77,27,76,65,62,45,48,29,103,112,1
43,72,57,86,107,94,15,29,30,100,1
58,41,39,16,75,12,61,15,60,3,0
43,12,41,60,37,81,47,38,64,89,1
46,76,29,87,16,15,11,108,64,89,1
15,78,76,37,87,8,43,3,65,103,1
6,39,66,86,16,49,15,41,100,30,1
77,76,27,69,62,11,20,29,103,112,1
108,76,119,17,3,41,72,16,30,103,1
92,72,119,78,86,54,25,69,16,5,0
35,114,29,86,28,109,19,40,16,50,0
49,95,76,16,86,109,72,57,50,88,0
11,20,27,19,103,95,33,43,89,87,1
93,47,60,87,107,109,43,65,30,100,0
43,64,8,58,62,11,70,29,27,23,1
15,49,98,84,87,77,39,3,57,100,0
52,49,53,54,28,64,12,29,70,100,1
109,49,72,30,7,66,48,54,86,13,1
11,58,81,27,100,77,76,51,57,23,1
43,19,108,87,100,49,64,15,60,16,0
53,72,12,60,3,94,23,78,88,50,1
77,47,19,87,90,39,41,49,68,23,1
17,12,108,27,107,113,46,29,79,60,0
12,13,30,16,60,72,15,57,86,88,0
72,120,57,100,87,23,66,4,65,7,1
12,38,72,64,107,109,78,98,100,87,1
49,38,43,86,87,94,27,41,57,100,0
27,11,49,12,51,76,106,107,97,3,1
77,27,39,19,83,49,15,78,3,100,1
77,74,61,27,89,18,65,39,62,112,0
41,76,110,100,87,49,11,20,30,51,0
72,29,34,100,87,109,43,69,111,16,0
49,35,78,112,60,77,47,27,29,16,0
49,15,64,29,100,72,39,19,16,87,0
43,8,16,85,87,18,78,49,68,51,1
12,30,108,51,34,67,72,19,37,100,1
48,108,39,87,89,19,27,94,69,107,1
39,92,15,69,100,63,57,34,114,30,1
27,72,41,103,34,67,11,108,16,68,1
95,39,16,50,3,109,13,104,100,87,1
11,35,23,29,5,47,72,103,86,102,0
58,41,64,82,62,27,17,15,57,20,0
109,102,20,106,51,43,12,65,89,87,1
19,39,13,30,16,11,76,108,86,51,0
89,109,114,65,87,77,108,15,86,88,0
49,15,57,86,100,41,69,76,87,107,1
72,17,55,87,16,20,38,64,34,89,0
94,72,57,3,100,109,78,39,86,60,1
18,19,76,86,23,77,45,49,87,100,1
72,47,29,87,51,13,39,70,89,86,0
12,106,69,30,62,61,43,20,3,16,0
45,72,64,57,100,48,47,102,86,16,0
95,11,78,86,83,54,57,47,16,87,1
41,15,98,103,86,18,78,46,30,64,1
47,19,95,110,103,49,54,15,119,68,0
1,25,66,20,19,109,49,40,90,16,0
94,19,69,87,103,15,38,76,37,60,0
109,58,96,50,60,52,77,113,103,30,1
39,78,18,107,87,77,108,27,89,34,0
11,45,54,86,62,61,49,72,16,84,1
8,43,97,87,51,48,49,89,16,68,0
64,88,95,34,51,77,76,29,86,100,0
17,8,97,86,88,43,72,38,30,107,0
33,61,76,30,62,44,11,78,86,87,1
76,72,78,86,68,8,57,19,100,87,0
58,43,57,30,16,80,25,102,120,5,1
49,72,19,90,16,39,15,78,87,103,1
27,76,19,29,100,81,34,68,7,75,1
94,54,29,103,87,77,27,35,60,65,0
45,64,66,15,51,94,63,29,3,16,0
27,12,52,57,16,72,39,108,30,60,0
8,11,14,88,3,77,108,37,76,100,0
49,61,57,87,89,81,13,114,75,103,0
72,19,15,86,102,49,39,81,30,100,0
19,58,39,27,69,49,11,3,78,84,1
19,52,18,37,23,27,94,54,29,16,0
80,19,86,120,107,11,15,29,30,16,0
12,45,13,87,103,109,11,89,29,64,0
49,53,102,54,20,98,72,57,100,30,1
94,4,78,27,84,11,10,100,87,51,1
109,13,119,16,50,41,72,38,90,87,0
72,43,3,55,107,15,19,49,87,16,1
37,108,12,103,76,77,27,60,34,65,0
54,76,55,16,3,80,45,29,86,60,0
109,35,27,69,79,57,18,64,76,100,0
58,34,18,26,51,47,8,13,89,87,0
95,39,38,90,100,63,76,16,103,87,1
8,9,97,30,107,15,39,29,86,16,1
53,41,108,16,103,109,27,57,13,100,0
11,81,29,3,23,77,27,76,41,100,1
49,8,87,100,29,48,98,64,78,88,1
48,49,53,52,51,45,72,108,28,3,1
52,70,13,60,86,17,18,108,103,27,1
98,72,66,78,107,57,13,63,86,83,0
54,66,86,96,34,78,27,98,113,62,1
48,11,51,65,86,42,46,78,30,69,1
27,12,76,57,51,19,35,63,86,37,0
8,78,27,11,100,72,60,68,34,16,1
19,109,53,16,3,15,57,30,17,23,0
29,46,81,87,88,15,11,69,51,30,0
39,48,29,71,27,12,15,78,103,87,0
94,15,108,62,86,43,76,78,3,16,0
113,42,38,30,100,41,76,65,3,16,0
15,17,16,107,87,53,72,34,100,30,1
76,42,57,27,16,35,19,30,29,69,0
27,17,18,40,103,8,43,86,29,88,0
102,19,76,107,68,53,109,43,16,23,1
43,41,72,87,89,19,76,69,23,3,1
39,46,78,60,112,102,77,76,86,103,1
48,35,71,87,2,49,76,29,30,23,0
1,49,7,89,87,72,96,76,37,60,1
66,15,34,108,26,48,76,57,89,87,0
49,11,29,23,87,55,46,70,16,3,0
54,38,46,86,90,74,18,27,88,16,1
47,41,63,87,100,11,76,23,50,51,1
109,15,60,65,119,95,19,104,89,37,0
77,76,16,50,107,8,39,65,23,3,1
49,109,37,103,29,35,72,13,60,86,0
94,72,60,64,89,43,8,55,51,87,1
109,72,13,89,87,49,12,30,88,16,0
109,39,108,89,86,48,11,57,100,87,0
49,48,29,50,16,77,76,69,3,2,0
8,27,39,19,51,12,15,78,16,68,1
45,49,43,68,100,95,33,13,58,16,1
49,66,70,19,20,98,54,104,16,87,1
11,33,8,100,87,49,58,39,84,51,0
92,10,49,68,28,27,15,76,51,62,1
43,72,99,3,16,19,11,78,31,86,1
6,49,15,87,91,72,76,19,86,103,0
109,33,19,37,103,15,43,78,87,23,0
42,61,108,64,40,35,72,69,62,86,0
94,20,37,65,62,49,93,78,87,103,0
72,108,39,87,89,59,100,34,57,3,0
72,98,16,86,119,95,97,120,88,37,1
77,27,94,41,107,49,81,64,60,65,1
57,72,34,87,7,43,114,16,30,107,1
12,15,19,100,87,10,47,65,16,86,1
29,72,19,91,103,109,52,98,28,88,0
72,43,78,50,51,93,27,11,108,100,1
76,81,15,65,86,80,77,16,100,68,1
94,64,4,29,14,8,11,78,30,51,0
11,15,119,65,51,92,13,47,30,103,0
49,48,99,37,100,43,8,64,97,107,0
11,19,76,86,51,94,71,34,26,29,1
39,48,78,85,30,92,54,57,34,103,0
109,47,89,65,87,11,81,102,75,51,1
43,63,78,16,3,58,9,6,69,30,1
77,39,104,23,3,94,64,29,60,112,0
8,19,72,16,68,49,38,76,66,86,0
93,76,108,89,87,15,35,29,86,90,0
46,113,57,100,30,53,13,44,65,28,0
72,27,11,19,103,109,43,29,88,30,1
95,43,52,16,68,49,33,54,89,30,1
109,45,57,3,16,35,41,86,69,68,1
27,72,35,65,51,53,11,15,3,88,0
11,66,8,27,16,45,109,57,30,100,1
77,38,76,16,87,108,11,62,13,30,1
47,39,60,84,13,18,92,16,40,3,1
19,91,41,15,68,53,54,43,107,87,1
114,49,78,87,60,39,20,104,16,31,1
48,64,100,34,16,74,70,19,78,86,1
11,17,29,100,87,12,39,51,110,30,1
81,59,19,13,111,72,35,41,30,107,0
12,74,66,29,16,43,18,38,91,5,1
43,41,29,3,16,13,48,27,104,103,1
109,39,60,37,65,43,41,15,100,26,1
11,72,50,65,16,17,15,104,19,30,0
94,41,89,65,30,77,43,51,87,85,1
39,109,65,68,100,12,104,13,3,62,0
33,74,63,108,27,35,20,16,100,87,0
80,53,39,78,16,72,29,49,62,3,1
109,47,57,7,87,44,98,43,79,20,1
39,63,78,30,103,15,17,57,100,86,0
11,64,20,29,16,45,72,78,50,89,0
77,43,37,78,51,47,109,19,30,100,1
45,109,51,90,38,19,27,15,34,62,1
47,11,29,30,100,8,58,76,60,65,0
81,13,29,16,68,19,76,27,60,57,0
19,11,96,51,31,80,77,39,30,60,0
54,34,3,65,23,49,19,88,68,51,0
104,108,54,87,103,35,1,96,16,30,1
76,81,29,100,112,19,77,33,64,16,1
77,38,17,30,90,19,80,34,60,91,1
15,39,57,60,86,72,49,75,64,102,1
80,109,13,88,30,114,27,76,57,23,0
72,43,29,87,107,18,58,34,68,62,1
43,54,78,30,88,12,38,19,68,16,0
48,53,15,49,119,72,43,57,87,88,1
77,76,89,27,57,53,72,43,86,100,0
12,108,30,34,51,19,17,16,86,90,1
46,72,52,16,119,12,11,89,38,87,1
49,41,11,68,51,72,103,47,89,27,1
29,54,23,92,3,109,57,60,50,34,0
95,49,102,87,51,77,43,108,89,64,1
49,77,16,55,3,109,45,19,86,103,0
48,49,64,57,100,1,43,16,89,86,0
8,13,99,27,51,72,47,57,103,30,1
8,64,89,49,78,95,43,29,62,87,0
49,43,8,90,100,45,72,89,51,87,1
43,29,27,40,51,45,92,109,89,3,0
48,81,15,13,86,39,77,16,100,87,1
72,51,11,60,110,49,39,103,88,65,0
14,76,27,49,29,33,11,15,87,100,0
49,58,39,100,112,77,108,17,27,101,1
38,41,34,64,16,72,76,108,86,107,0
43,10,29,68,100,48,92,13,107,30,0
39,63,102,86,51,15,18,57,103,87,0
10,38,45,91,101,64,63,72,23,100,1
41,63,47,112,103,77,76,60,87,65,0
95,19,64,65,107,77,49,102,50,100,0
72,29,3,51,34,67,19,89,50,65,1
8,43,27,65,88,54,34,64,104,16,1
48,34,16,100,87,8,27,29,22,60,0
43,44,3,120,100,80,19,30,69,107,0
76,109,78,62,100,19,12,38,27,91,0
43,94,87,16,62,80,11,38,89,85,1
66,76,54,16,100,72,102,9,103,3,0
81,13,74,100,30,49,15,78,60,87,0
49,94,19,30,100,43,77,58,64,16,0
109,29,76,62,3,80,39,102,87,89,1
41,15,65,87,107,43,78,70,30,103,1
35,41,78,30,100,49,20,27,94,107,1
27,12,98,29,89,49,19,104,87,100,0
109,43,29,103,87,94,8,13,16,30,1
77,52,69,68,89,72,49,78,87,51,0
11,81,65,16,30,63,27,19,39,85,0
109,51,34,87,62,64,19,15,16,60,1
63,11,41,87,103,42,57,46,68,16,1
49,52,41,37,51,109,13,57,87,100,1
11,27,29,48,87,43,12,78,3,100,0
114,74,30,57,88,109,27,11,69,60,0
12,39,78,89,87,43,8,100,60,50,0
109,39,29,16,87,43,8,78,89,26,0
8,64,19,60,98,113,49,29,107,16,1
11,72,19,37,51,76,67,27,108,88,1
15,39,27,78,107,43,109,57,64,7,1
15,16,22,87,23,12,34,30,7,103,1
58,76,72,87,89,77,11,108,37,86,0
49,72,78,103,68,53,43,63,87,16,0
49,16,72,51,3,11,13,18,86,62,0
11,8,58,57,3,94,22,69,29,87,1
11,8,16,89,87,49,48,39,51,37,1
72,11,100,65,30,19,102,76,89,87,0
43,94,41,30,87,77,9,89,13,60,0
72,114,19,7,87,77,52,29,30,100,1
43,27,41,16,107,109,33,15,87,100,0
43,41,64,69,16,19,57,98,60,84,0
72,39,41,60,30,12,27,47,7,51,0
41,19,47,3,103,18,39,78,89,87,0
47,13,6,89,86,43,44,57,100,87,0
19,74,13,37,16,43,29,1,87,103,1
77,8,11,86,100,54,76,55,16,87,0
11,19,98,87,16,12,114,13,30,51,1
12,72,90,38,3,23,70,30,65,16,0
12,57,11,7,27,18,78,39,100,86,0
64,48,72,108,89,77,11,57,60,87,0
109,49,16,78,101,48,43,19,51,87,1
39,54,58,16,87,15,19,108,26,62,0
74,72,29,14,30,35,17,16,85,23,1
39,81,19,87,107,76,13,4,27,62,1
8,99,60,34,30,27,81,76,110,7,0
94,72,38,87,107,43,109,27,16,85,0
41,76,4,29,88,45,43,27,108,20,0
12,49,78,86,103,43,76,57,87,89,1
12,15,51,86,103,48,25,65,89,3,1
61,19,57,15,26,43,60,12,30,107,1
12,72,29,103,86,77,76,65,87,16,0
12,43,16,89,87,48,47,37,51,78,1
12,76,57,51,87,94,41,27,69,103,0
35,54,13,112,88,109,92,45,107,86,0
67,96,34,87,62,49,93,45,29,51,0
17,65,77,88,87,49,64,19,29,23,0
77,27,94,29,107,43,12,57,64,23,0
11,109,19,3,96,104,12,94,5,28,1
11,104,54,64,100,77,60,27,13,107,0
95,35,19,66,87,49,12,43,69,68,1
52,58,19,68,107,12,108,15,16,87,1
48,76,108,107,87,8,27,72,29,62,1
42,43,58,16,68,72,47,69,51,3,1
15,47,16,89,87,72,39,38,37,60,0
45,109,38,62,91,94,15,30,104,107,1
109,39,96,30,107,15,54,57,16,86,1
53,6,47,63,100,19,76,108,88,119,1
11,54,66,16,51,39,72,89,86,65,1
43,109,7,100,87,72,47,19,68,51,0
44,15,57,86,91,58,33,94,87,51,1
94,72,13,87,89,15,64,11,16,103,1
42,33,11,89,101,72,113,13,103,87,0
27,35,19,65,16,109,17,57,30,103,0
27,54,61,38,19,99,34,88,62,30,1
12,39,16,65,30,77,13,34,103,111,1
11,78,41,3,71,12,13,16,30,49,1
11,54,50,16,23,109,47,51,103,87,0
49,39,78,3,100,37,76,11,87,69,1
